completion_year,monthly_rent_rm,location,property_type,rooms,parking,bathroom,size_sqft,furnished,region,fac_count,add_fac_count,nearby_ktm_lrt
2022,4200,Desa,Condominium,5,2,6,1842,Fully Furnished,Kuala Lumpur,10,3,no
,2300,Cheras,Condominium,3,1,2,1170,Partially Furnished,Kuala Lumpur,9,3,yes
,1000,Desa,Apartment,3,,2,650,Fully Furnished,Kuala Lumpur,4,,
2020,1700,Sentul,Apartment,2,1,2,743,Partially Furnished,Kuala Lumpur,8,3,yes
,1299,Kiara,Service Residence,1,1,1,494,Not Furnished,Kuala Lumpur,11,1,no
,1500,Setapak,Apartment,3,1,2,884,Partially Furnished,Kuala Lumpur,6,2,yes
,2900,Sentul,Service Residence,3,2,2,982,Fully Furnished,Kuala Lumpur,10,4,yes
2018,1550,Ampang,Service Residence,1,1,1,700,Fully Furnished,Kuala Lumpur,7,4,yes
2014,1400,Segambut,Apartment,2,1,1,750,Fully Furnished,Kuala Lumpur,5,4,yes
,1350,ParkCity,Condominium,3,1,2,862,Partially Furnished,Kuala Lumpur,6,3,yes
2019,2600,Jalil,Service Residence,2,,2,868,Partially Furnished,Kuala Lumpur,7,2,yes
2022,2000,Setapak,Service Residence,4,2,2,1100,Partially Furnished,Kuala Lumpur,9,4,yes
2018,1500,Ampang,Service Residence,1,1,1,700,Fully Furnished,Kuala Lumpur,13,4,yes
2017,1300,Sentul,Service Residence,3,1,2,1009,Fully Furnished,Kuala Lumpur,11,3,no
,1000,Kepong,Apartment,5,,2,855,Partially Furnished,Kuala Lumpur,3,3,yes
2020,3200,City,Apartment,3,1,2,950,Fully Furnished,Kuala Lumpur,13,5,yes
2020,3200,City,Apartment,3,1,2,950,Fully Furnished,Kuala Lumpur,13,5,yes
2021,1400,Cheras,Service Residence,2,2,2,650,Not Furnished,Kuala Lumpur,8,3,yes
,2500,Maju,Condominium,4,2,2,1784,Not Furnished,Kuala Lumpur,4,2,no
,1800,Ampang,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,8,,
2021,1099,Cheras,Service Residence,2,1,2,650,Not Furnished,Kuala Lumpur,8,3,yes
2021,1099,Cheras,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,8,4,yes
2021,1199,Cheras,Service Residence,3,1,2,819,Not Furnished,Kuala Lumpur,8,4,yes
2021,1100,Cheras,Service Residence,2,1,2,650,Not Furnished,Kuala Lumpur,8,2,no
,1000,Cheras,Apartment,3,,2,650,Not Furnished,Kuala Lumpur,3,,
,1100,Cheras,Condominium,1,1,1,900,Partially Furnished,Kuala Lumpur,9,,
,1400,Maju,Condominium,3,1,2,1140,Not Furnished,Kuala Lumpur,6,,
,1500,Setapak,Condominium,3,1,2,900,Not Furnished,Kuala Lumpur,5,,
2017,2500,Dutamas,Condominium,4,2,3,1500,Partially Furnished,Kuala Lumpur,6,2,no
2017,2900,Dutamas,Condominium,4,2,3,1719,Fully Furnished,Kuala Lumpur,6,2,no
2006,1750,Sentul,Apartment,3,,2,1065,Partially Furnished,Kuala Lumpur,,,
,1800,Setapak,Apartment,3,1,2,885,Fully Furnished,Kuala Lumpur,,,
2015,1900,Sentul,Condominium,3,2,2,1300,Partially Furnished,Kuala Lumpur,,,
,1500,Kuching,Studio,1,1,1,530,Fully Furnished,Kuala Lumpur,6,3,no
,2400,Menjalara,Condominium,3,1,2,1316,Fully Furnished,Kuala Lumpur,8,3,no
2015,4500,Pandan,Service Residence,3,2,2,1539,Fully Furnished,Kuala Lumpur,4,4,yes
1999,1400,Road,Condominium,3,1,2,1270,Partially Furnished,Kuala Lumpur,10,3,no
2021,1800,Cheras,Service Residence,3,1,2,819,Partially Furnished,Kuala Lumpur,10,4,yes
,1500,Pandan,Apartment,3,1,2,950,Partially Furnished,Kuala Lumpur,2,,
2019,3000,Setapak,Condominium,3,2,2,1200,Fully Furnished,Kuala Lumpur,11,4,no
2004,1600,Kuching,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,9,3,no
2007,1800,Setapak,Condominium,3,,2,1066,Fully Furnished,Kuala Lumpur,,,
,2100,KLCC,Condominium,2,,2,706,Fully Furnished,Kuala Lumpur,9,,
2015,2500,Hilir,Condominium,2,1,1,890,Fully Furnished,Kuala Lumpur,6,,
2020,1300,Sentul,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,9,,
2007,2000,Bintang,Service Residence,2,1,2,742,Fully Furnished,Kuala Lumpur,7,,
,2000,ParkCity,Condominium,3,1,2,862,Fully Furnished,Kuala Lumpur,2,3,no
2002,2100,Cheras,Condominium,4,1,3,1300,Fully Furnished,Kuala Lumpur,6,,
,1300,City,Apartment,3,1,2,805,Partially Furnished,Kuala Lumpur,9,,
2020,2600,Maju,Condominium,4,2,2,1000,Fully Furnished,Kuala Lumpur,8,,
2015,2000,Hilir,Service Residence,1,1,1,440,Fully Furnished,Kuala Lumpur,6,,
,2500,Menjalara,Condominium,5,2,3,1600,Fully Furnished,Kuala Lumpur,8,3,no
2020,2500,Jalil,Condominium,3,2,2,1028,Fully Furnished,Kuala Lumpur,14,4,yes
,2000,Setapak,Condominium,4,,2,940,Fully Furnished,Kuala Lumpur,10,4,yes
,1800,Setapak,Condominium,3,1,2,860,Fully Furnished,Kuala Lumpur,10,4,yes
,1700,Kuching,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,1,1,no
,1600,Setapak,Condominium,4,1,2,914,Partially Furnished,Kuala Lumpur,10,4,yes
,2000,Kuching,Condominium,3,2,2,1100,Fully Furnished,Kuala Lumpur,10,4,yes
,1500,Kepong,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,10,1,no
,1700,Kuching,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,4,3,no
,1850,Kepong,Condominium,3,2,2,1100,Fully Furnished,Kuala Lumpur,14,5,yes
,1700,Sentul,Condominium,4,2,3,1200,Partially Furnished,Kuala Lumpur,14,4,yes
,1700,Ipoh,Service Residence,2,1,2,904,Fully Furnished,Kuala Lumpur,14,4,yes
,1800,Kepong,Condominium,4,2,2,1300,Partially Furnished,Kuala Lumpur,14,2,no
2017,1600,Setapak,Condominium,3,1,2,950,Partially Furnished,Kuala Lumpur,,,
,1600,Kepong,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,14,3,yes
2021,1400,Cheras,Service Residence,2,2,2,650,Not Furnished,Kuala Lumpur,8,3,yes
,1000,KLCC,Apartment,3,2,2,1000,Partially Furnished,Kuala Lumpur,9,4,yes
,2700,Setiawangsa,Condominium,3,,2,1115,Partially Furnished,Kuala Lumpur,6,,
2019,1400,Gombak,Service Residence,3,1,2,850,Not Furnished,Kuala Lumpur,14,3,yes
