completion_year,monthly_rent_rm,location,property_type,rooms,parking,bathroom,size_sqft,furnished,region,fac_count,add_fac_count,price_level
,2300,Cheras,Condominium,3,1,2,1170,Partially Furnished,Kuala Lumpur,9,3,Expensive
,1000,Desa,Apartment,3,,2,650,Fully Furnished,Kuala Lumpur,4,,cheap
2020,1700,Sentul,Apartment,2,1,2,743,Partially Furnished,Kuala Lumpur,8,3,Expensive
,1299,Kiara,Service Residence,1,1,1,494,Not Furnished,Kuala Lumpur,11,1,Expensive
,1500,Setapak,Apartment,3,1,2,884,Partially Furnished,Kuala Lumpur,6,2,cheap
,2900,Sentul,Service Residence,3,2,2,982,Fully Furnished,Kuala Lumpur,10,4,Expensive
2018,1550,Ampang,Service Residence,1,1,1,700,Fully Furnished,Kuala Lumpur,7,4,Expensive
2014,1400,Segambut,Apartment,2,1,1,750,Fully Furnished,Kuala Lumpur,5,4,Expensive
,1350,ParkCity,Condominium,3,1,2,862,Partially Furnished,Kuala Lumpur,6,3,cheap
2018,1500,Ampang,Service Residence,1,1,1,700,Fully Furnished,Kuala Lumpur,13,4,Expensive
2017,1300,Sentul,Service Residence,3,1,2,1009,Fully Furnished,Kuala Lumpur,11,3,cheap
2020,3200,City,Apartment,3,1,2,950,Fully Furnished,Kuala Lumpur,13,5,Expensive
2020,3200,City,Apartment,3,1,2,950,Fully Furnished,Kuala Lumpur,13,5,Expensive
2021,1400,Cheras,Service Residence,2,2,2,650,Not Furnished,Kuala Lumpur,8,3,Expensive
,1800,Ampang,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,8,,Expensive
2021,1099,Cheras,Service Residence,2,1,2,650,Not Furnished,Kuala Lumpur,8,3,cheap
2021,1099,Cheras,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,8,4,cheap
2021,1199,Cheras,Service Residence,3,1,2,819,Not Furnished,Kuala Lumpur,8,4,cheap
2021,1100,Cheras,Service Residence,2,1,2,650,Not Furnished,Kuala Lumpur,8,2,cheap
,1000,Cheras,Apartment,3,,2,650,Not Furnished,Kuala Lumpur,3,,cheap
,1100,Cheras,Condominium,1,1,1,900,Partially Furnished,Kuala Lumpur,9,,Expensive
,1400,Maju,Condominium,3,1,2,1140,Not Furnished,Kuala Lumpur,6,,cheap
,1500,Setapak,Condominium,3,1,2,900,Not Furnished,Kuala Lumpur,5,,cheap
,1800,Setapak,Apartment,3,1,2,885,Fully Furnished,Kuala Lumpur,,,Expensive
2015,1900,Sentul,Condominium,3,2,2,1300,Partially Furnished,Kuala Lumpur,,,Expensive
,2400,Menjalara,Condominium,3,1,2,1316,Fully Furnished,Kuala Lumpur,8,3,Expensive
2021,1800,Cheras,Service Residence,3,1,2,819,Partially Furnished,Kuala Lumpur,10,4,Expensive
,1500,Pandan,Apartment,3,1,2,950,Partially Furnished,Kuala Lumpur,2,,cheap
2019,3000,Setapak,Condominium,3,2,2,1200,Fully Furnished,Kuala Lumpur,11,4,Expensive
2004,1600,Kuching,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,9,3,cheap
,2100,KLCC,Condominium,2,,2,706,Fully Furnished,Kuala Lumpur,9,,Expensive
2015,2500,Hilir,Condominium,2,1,1,890,Fully Furnished,Kuala Lumpur,6,,Expensive
2020,1300,Sentul,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,9,,Expensive
2007,2000,Bintang,Service Residence,2,1,2,742,Fully Furnished,Kuala Lumpur,7,,Expensive
,2000,ParkCity,Condominium,3,1,2,862,Fully Furnished,Kuala Lumpur,2,3,Expensive
,1300,City,Apartment,3,1,2,805,Partially Furnished,Kuala Lumpur,9,,cheap
2015,2000,Hilir,Service Residence,1,1,1,440,Fully Furnished,Kuala Lumpur,6,,Expensive
2020,2500,Jalil,Condominium,3,2,2,1028,Fully Furnished,Kuala Lumpur,14,4,Expensive
,1800,Setapak,Condominium,3,1,2,860,Fully Furnished,Kuala Lumpur,10,4,Expensive
,1700,Kuching,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,1,1,cheap
,2000,Kuching,Condominium,3,2,2,1100,Fully Furnished,Kuala Lumpur,10,4,Expensive
,1500,Kepong,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,10,1,cheap
,1700,Kuching,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,4,3,cheap
,1850,Kepong,Condominium,3,2,2,1100,Fully Furnished,Kuala Lumpur,14,5,Expensive
,1700,Ipoh,Service Residence,2,1,2,904,Fully Furnished,Kuala Lumpur,14,4,Expensive
2017,1600,Setapak,Condominium,3,1,2,950,Partially Furnished,Kuala Lumpur,,,cheap
,1600,Kepong,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,14,3,cheap
2021,1400,Cheras,Service Residence,2,2,2,650,Not Furnished,Kuala Lumpur,8,3,Expensive
,1000,KLCC,Apartment,3,2,2,1000,Partially Furnished,Kuala Lumpur,9,4,cheap
,2700,Setiawangsa,Condominium,3,,2,1115,Partially Furnished,Kuala Lumpur,6,,Expensive
2019,1400,Gombak,Service Residence,3,1,2,850,Not Furnished,Kuala Lumpur,14,3,cheap
,1500,Cheras,Condominium,2,1,1,717,Fully Furnished,Kuala Lumpur,13,4,Expensive
2017,1350,Maju,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,,,cheap
2017,1300,Sentul,Service Residence,3,1,2,1150,Not Furnished,Kuala Lumpur,8,1,cheap
,2500,Pantai,Condominium,3,,2,1500,Fully Furnished,Kuala Lumpur,5,3,Expensive
,1300,Jalil,Apartment,3,1,2,1000,Not Furnished,Kuala Lumpur,6,,cheap
,900,Cheras,Apartment,2,1,1,550,Partially Furnished,Kuala Lumpur,5,2,cheap
,1300,Cheras,Condominium,3,1,2,967,Partially Furnished,Kuala Lumpur,8,3,cheap
2010,2000,Maju,Condominium,3,1,3,1267,Fully Furnished,Kuala Lumpur,11,5,Expensive
,2100,Sentul,Service Residence,2,,2,999,Partially Furnished,Kuala Lumpur,10,4,Expensive
2015,1750,Besi,Condominium,3,2,2,1121,Fully Furnished,Kuala Lumpur,9,3,cheap
2021,2000,Kepong,Apartment,2,1,2,872,Fully Furnished,Kuala Lumpur,11,4,Expensive
,1300,Ampang,Apartment,3,,2,860,Not Furnished,Kuala Lumpur,3,1,cheap
2012,1100,Besi,Condominium,3,1,2,904,Partially Furnished,Kuala Lumpur,6,4,cheap
,1300,City,Apartment,3,1,2,835,Fully Furnished,Kuala Lumpur,10,3,cheap
